FAMILLE,TICKET_ID,MOIS_VENTE,PRIX_NET,UNIVERS,MAILLE,LIBELLE,CLI_ID
HYGIENE,35592159,10,1.67,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 PAMPLEMOUSSE FL 200ML,1490281
HYGIENE,35592159,10,1.66,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 PAMPLEMOUSSE FL 200ML,1490281
SOINS DU VISAGE,35592159,10,7.45,VIS_CJOUR Jeunes Specifique,VIS_JEUNE_ET_LEVRE,CR JR PARF BIO.SPE AC.SENT.50ML,1490281
SOINS DU VISAGE,35592159,10,5.95,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,EAU MICELLAIRE 3 THES FL200ML,1490281
HYGIENE,35592159,10,1.67,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 TIARE FL 200ML,1490281
PARFUMAGE,35509899,9,13.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT  UN MATIN AU JARDIN  100ML  MUGUET,13290776
SOINS DU CORPS,35509899,9,5.5,CORPS_LAIT HUILE PLAISIRNATURE,CORPS_HYDR_LAIT_HUILE,LAIT VELOUTE COCO PN2 400ML,13290776
HYGIENE,36417517,12,1.75,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,13290776
HYGIENE,36417517,12,1.76,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,13290776
HYGIENE,36417517,12,2.25,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,13290776
SOINS DU CORPS,36417517,12,5.63,CORPS_LAIT HUILE PARFUMS,CORPS_HYDR_LAIT_HUILE,LAIT LILAS FP FL200ML,13290776
SOINS DU CORPS,36417517,12,4.02,CORPS_LAIT HUILE PARFUMS,CORPS_HYDR_LAIT_HUILE,LAIT LILAS FP FL200ML,13290776
PARFUMAGE,36417517,12,11.04,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML LILAS,13290776
PARFUMAGE,36417517,12,10.55,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML LILAS,13290776
MAQUILLAGE,33002894,1,7.45,MAQ_LEV RAL Brillance,MAQ_LEV_RAL_HMG,RAL BRILLANC GEL/PRALIN CN3 2G,20163348
SOINS DU VISAGE,33064616,1,5.45,VIS_CJOUR Jeunes Specifique,VIS_JEUNE_ET_LEVRE,CR JOUR PX/MIX HYDRA/VEG P50ML,20200041
SOINS DU CORPS,33064616,1,1.25,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,CREME MAINS CACAO ET ORANGE 75ML,20200041
HYGIENE,33534570,3,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD AGRUMES FP FL 200 ML,20561854
CAPILLAIRES,33534570,3,2.95,CAP_AP SHAMP,CAPILLAIRE_AUTRE,LISSAGE AP SHAMPOING LISSANT 150ML SVC,20561854
MAQUILLAGE,33534570,3,1.65,MAQ_ONG Vernis LUM,MAQ_ONGLES,VAO CERISE NOIRE 32 LUM4 3ML,20561854
HYGIENE,32975823,1,4.95,HYG_DOUCHE HOMMES,HYG_HOMME,GD 200ML AMBRE NOIR,20727324
MAQUILLAGE,32975823,1,2.9,MAQ_LEV BRILLANT,MAQ_LEV_BASPRIX,x99SS GELEE FRUITS VANIL PN2 10ML,20727324
HYGIENE,32975823,1,1.45,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,GLM 300ML CACAO ET PISTACHE,20727324
SOINS DU CORPS,32975823,1,2.45,CORPS_LAIT HUILE AUTRES,CORPS_HYDR_LAIT_HUILE,LAIT CORPS 300ML CACAO  PISTACHE,20727324
HYGIENE,32995003,1,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM GRENADE FL200ML,20727324
SOINS DU CORPS,34233630,5,4.95,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC REP LAIT REP T150ML,20791601
MAQUILLAGE,34233630,5,6.95,MAQ_TEINT Fard a joues,MAQ_TEINT,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,20791601
MAQUILLAGE,34233630,5,5.95,MAQ_LEV RAL Brillance,MAQ_LEV_RAL_HMG,RAL BRILL MARRON GLACE12 CN3 3.5G,20791601
MAQUILLAGE,34233630,5,5.95,MAQ_LEV RAL Brillance,MAQ_LEV_RAL_HMG,RAL BRILL CERISE NOIRE52 CN3 3.5G,20791601
SOINS DU CORPS,32983494,1,2.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC PIEDS SOS P ECHAUF T50ML,21046542
HYGIENE,32983494,1,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD AGRUMES FP FL 200 ML,21046542
HYGIENE,32983494,1,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD AGRUMES FP FL 200 ML,21046542
SOINS DU VISAGE,32983494,1,3.45,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MSQ CRANBERRY BTE CROQUER T50,21046542
HYGIENE,33347114,2,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,UMAJ GD CERISIERS FL200ML,21046542
PARFUMAGE,33347114,2,12.55,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML ROSE,21046542
HYGIENE,33347114,2,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD ROSE FP FL200ML,21046542
SOINS DU CORPS,33347114,2,4.45,CORPS_LAIT HUILE PARFUMS,CORPS_HYDR_LAIT_HUILE,LAIT ROSE FP FL200ML,21046542
SOINS DU CORPS,33347114,2,4.45,CORPS_LAIT HUILE PARFUMS,CORPS_HYDR_LAIT_HUILE,LAIT CORPS CERISIER UMAJ FL200ML,21046542
PARFUMAGE,33347114,2,12.55,PARF_EAUX PARFUMS,PARF_PARFUM,EDT  UMAJ  100ML  CERISIERS EN FLEURS,21046542
SOINS DU VISAGE,34416634,6,3.45,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BIO BAUME LEVRES REPARATEUR 10ML,21046542
PARFUMAGE,34416634,6,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,21046542
HYGIENE,34416634,6,3.5,HYG_DEO CULTURE BIO,HYG_CULTUREBIO,BIO DEO FRAICHEUR BILLE FL50ML,21046542
HYGIENE,34416634,6,1.95,HYG_DOUCHE EDT ETE,HYG_MONOI_ET_EDIT_SPEC,GEL DOUCHE ETE 2014 200 ML,21046542
SOINS DU VISAGE,34416634,6,9.25,VIS_TRAIT BIO,VIS_BIO,BIO FLUIDE REVEIL REGARD TB15ML,21046542
SOINS DU CORPS,34416634,6,12.95,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,BAUME TRAD DE HAM P150ml,21046542
HYGIENE,34743982,7,5.0,HYG_DOUCHE HAMMAM,HYG_AUTRES,HUILE DOUCHE TRAD DE HAM. FL200ML,21046542
HYGIENE,34743982,7,4.25,HYG_DOUCHE HOMMES,HYG_HOMME,SH. DOUCHE NATURE HOMME 200ML,21046542
SOINS DU VISAGE,34773724,7,6.45,VIS_CJOUR BIO,VIS_BIO,BIO NUTR VISAGE CULT BIO2 50ML,21046542
CAPILLAIRES,34773724,7,2.95,CAP_SHAMP TRAITANT,CAPILLAIRE_SHAMPOING,SVC NUTRITION SH 300ML,21046542
HYGIENE,34773724,7,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD AGRUMES FP FL 200 ML,21046542
SOINS DU CORPS,34773724,7,5.45,CORPS_EXFOLIANT CORPS,CORPS_SPA_ET_MINCEUR,BIO GOMMAGE  CORPS T150ML,21046542
SOINS DU VISAGE,34773724,7,3.95,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,HYDRA LAIT DEMAQ FL200ML,21046542
SOINS DU VISAGE,34773724,7,10.75,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,REPACK CONTOUR YEUX RC2 P15ml,21046542
HYGIENE,34773724,7,5.0,HYG_DOUCHE HAMMAM,HYG_AUTRES,HUILE DOUCHE TRAD DE HAM. FL200ML,21046542
MAQUILLAGE,34773724,7,7.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,FAP DUO 2012 CN3 3G PRUNE ET TAUPE PDRE,21046542
